,TRB,STL,Pos,G,Player,Year,PTS,BLK,Tm,AST,FG,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
5806,246.0,29.0,SF,45.0,Bob Dandridge,1980.0,783.0,36.0,WSB,178.0,329.0,13.70222222222222,2.62,16.32222222222222,17.4,3.9555555555555557,5.466666666666667,0.8,0.6444444444444445,7.311111111111111
5807,516.0,96.0,SF,68.0,Adrian Dantley*,1980.0,1903.0,14.0,UTA,191.0,730.0,21.224999999999998,3.520588235294117,24.745588235294115,27.985294117647058,2.8088235294117645,7.588235294117647,0.20588235294117646,1.411764705882353,10.735294117647058
5808,17.0,13.0,PG,18.0,Brad Davis,1980.0,83.0,1.0,TOT,50.0,35.0,3.9777777777777774,0.6111111111111112,4.588888888888889,4.611111111111111,2.7777777777777777,0.9444444444444444,0.05555555555555555,0.7222222222222222,1.9444444444444444
5809,2.0,3.0,PG,5.0,Brad Davis,1980.0,7.0,0.0,IND,5.0,2.0,1.22,0.33999999999999997,1.56,1.4,1.0,0.4,0.0,0.6,0.4
5810,15.0,10.0,PG,13.0,Brad Davis,1980.0,76.0,1.0,UTA,45.0,33.0,5.038461538461538,0.7153846153846154,5.753846153846154,5.846153846153846,3.4615384615384617,1.1538461538461537,0.07692307692307693,0.7692307692307693,2.5384615384615383
5811,6.0,1.0,SF,4.0,Harry Davis,1980.0,13.0,0.0,SAS,0.0,6.0,2.425,0.675,3.0999999999999996,3.25,0.0,1.5,0.0,0.25,1.5
5812,226.0,110.0,PG,82.0,Johnny Davis,1980.0,1300.0,23.0,IND,440.0,496.0,12.775609756097559,1.5890243902439025,14.364634146341462,15.853658536585366,5.365853658536586,2.7560975609756095,0.2804878048780488,1.3414634146341464,6.048780487804878
5813,272.0,114.0,SF,75.0,Walter Davis,1980.0,1613.0,19.0,PHO,337.0,657.0,16.82933333333333,1.9826666666666668,18.811999999999998,21.506666666666668,4.493333333333333,3.6266666666666665,0.25333333333333335,1.52,8.76
5814,693.0,49.0,C,80.0,Darryl Dawkins,1980.0,1178.0,142.0,PHI,149.0,494.0,11.2975,4.18125,15.47875,14.725,1.8625,8.6625,1.775,0.6125,6.175
5815,125.0,33.0,SF,57.0,Paul Dawkins,1980.0,316.0,9.0,UTA,77.0,141.0,4.398245614035088,1.0982456140350878,5.496491228070176,5.543859649122807,1.3508771929824561,2.192982456140351,0.15789473684210525,0.5789473684210527,2.473684210526316
5816,6.0,0.0,SG,7.0,Greg Deane,1980.0,10.0,0.0,UTA,6.0,2.0,1.2,0.3428571428571429,1.542857142857143,1.4285714285714286,0.8571428571428571,0.8571428571428571,0.0,0.0,0.2857142857142857
